# time, NonControlledInfectedClasses, ControlledInfectedClasses
3.309192200557102979e+02,6.484902846104650962e+02,2.979082243706710642e+01
3.319220055710306383e+02,6.445861642528700486e+02,2.968485360381254878e+01
3.329247910863509787e+02,6.407055035433346575e+02,2.958916564452925257e+01
3.339275766016713192e+02,6.368481620608803269e+02,2.950435925190631892e+01
3.349303621169916028e+02,6.330140002183834440e+02,2.943112757669820212e+01
3.359331476323119432e+02,6.292028792577040122e+02,2.937027148049878633e+01
3.369359331476322836e+02,6.254146612448425913e+02,2.932271758711485177e+01
3.379387186629526241e+02,6.216492090651238414e+02,2.928953967878026532e+01
3.389415041782729645e+02,6.179063864184075783e+02,2.927198429530276869e+01
3.399442896935933049e+02,6.141860578143267730e+02,2.927150124523247854e+01
3.409470752089136454e+02,6.104880885675526088e+02,2.928978005690181163e+01
3.419498607242339858e+02,6.068123447930864813e+02,2.932879377017605549e+01
3.429526462395543263e+02,6.031586934015776933e+02,2.939085153716284893e+01
3.439554317548746099e+02,5.995270020946692284e+02,2.947866188868349369e+01
3.449582172701949503e+02,5.959171393603678553e+02,2.959540887121452712e+01
3.459610027855152907e+02,5.923289744684425386e+02,2.974484405691943678e+01
3.469637883008356312e+02,5.887623774658474076e+02,2.993139722869105412e+01
3.479665738161559716e+02,5.852172191721710988e+02,3.016030877117665199e+01
3.489693593314763120e+02,5.816933711751122473e+02,3.043778779651489685e+01
3.499721448467966525e+02,5.781907058259803307e+02,3.077099100692414524e+01
3.509749303621169929e+02,5.747090962352215229e+02,3.116715392209690805e+01
3.519777158774373333e+02,5.712484162679716064e+02,3.163299050272727797e+01
3.529805013927576738e+02,5.678085405396316219e+02,3.217582689427253229e+01
3.539832869080779574e+02,5.643893444114712565e+02,3.280270395903595215e+01
3.549860724233982978e+02,5.609907039862553120e+02,3.351882655222905072e+01
3.559888579387186383e+02,5.576124961038959782e+02,3.432884791809158997e+01
3.569916434540389787e+02,5.542545983371294369e+02,3.523741338000927215e+01
3.579944289693593191e+02,5.509168889872174759e+02,3.624922466616428096e+01
3.589972144846796596e+02,5.475992470796728639e+02,3.736909622161120126e+01
3.600000000000000000e+02,5.443015523600098504e+02,3.860200515388768849e+01
